Date,Open,Close,High,Low,Volume
01-01-2023,100,105,110,95,1000000
02-01-2023,105,102,108,100,950000
03-01-2023,102,108,112,100,1100000
04-01-2023,108,110,115,105,1200000
05-01-2023,110,115,120,108,1050000
06-01-2023,115,112,118,110,980000
07-01-2023,112,105,115,100,1250000
08-01-2023,105,108,112,100,1150000
09-01-2023,108,112,115,105,1050000
10-01-2023,112,118,122,110,1000000
11-01-2023,118,125,130,115,950000
12-01-2023,125,120,128,115,900000
13-01-2023,120,118,124,112,850000
14-01-2023,118,122,126,115,820000
15-01-2023,122,125,130,118,810000
